RecID,LinkedWithHHDiscovery
A994309,A907164
A975027,A910354
A987435,A910561
A919755,A911688
A935820,A911943
A988362,A915363
A935542,A916642
B982545,A917219
B944619,A917230
A950105,A918873
A984843,A919080
A911688,A919755
A961652,A920094
A996222,A921405
A958219,A922275
B986702,A923305
A971962,A923936
A947142,A925218
A961935,A926624
A931696,A926793
A976836,A929431
A970881,A930672
A926793,A931696
A950793,A933790
A935391,A934404
A977550,A935283
A934404,A935391
A916642,A935542
A911943,A935820
A969675,A936490
B995020,A937475
A969439,A938595
A973892,A938776
A943567,A942675
A942675,A943567
A962124,A944169
B958227,A944985
A925218,A947142
A952953,A949856
A918873,A950105
A933790,A950793
A949856,A952953
A922275,A958219
B949420,A958945
A920094,A961652
A926624,A961935
A944169,A962124
A963334,A962379
A980512,A962555
A962379,A963334
A981419,A964249
A938595,A969439
A936490,A969675
A930672,A970881
B964822,A971522
A923936,A971962
A938776,A973892
A994211,A974315
A910354,A975027
A929431,A976836
A935283,A977550
A962555,A980512
A964249,A981419
B916093,A984532
A919080,A984843
A910561,A987435
A915363,A988362
A974315,A994211
A907164,A994309
A921405,A996222
A984532,B916093
A917230,B944619
A958945,B949420
A944985,B958227
A971522,B964822
A917219,B982545
A923305,B986702
A937475,B995020
