RecID,idtruth
A918922,705
A965806,705
A975932,1385
A988296,1386
A997960,1387
A909927,874
A910769,731
A924058,874
A928147,731
A928824,731
A934307,731
A972885,731
A994537,1388
A942620,874
A959160,874
A968798,696
A969451,874
A975337,696
A990355,874
A917739,1291
A917812,1295
A927521,1389
A928065,1390
A960642,1291
A966478,1295
A967726,1291
A997991,1295
A998694,1391
A922167,1282
A938006,1282
A966339,1282
A982011,1282
A944144,1392
A966184,1393
A908425,986
A911385,986
A916018,1394
A952346,338
A965664,338
A986576,986
A925907,733
A942331,733
A951755,1395
A982214,733
A930840,332
A941750,918
A942819,918
A960815,918
A960819,1396
A978809,198
A981403,332
A988193,198
A916219,918
A933543,570
A951461,918
A969924,570
A979758,918
A990361,1397
A922275,1398
A940100,1399
A958219,1284
A974436,1284
A998294,1284
A917198,846
A917219,1400
A923496,846
A962823,93
A971925,846
A976656,846
A985613,846
A991295,93
A931912,1021
A947130,1021
A952983,1021
A958284,1401
A982650,1021
A912670,1402
A931209,33
A945454,347
A948003,1403
A955499,993
A975417,993
A979806,993
A987740,1404
A994750,347
A994841,33
A943900,1405
A946676,135
A968044,135
A997234,1406
A924243,1407
A959383,496
A964009,496
A984120,1408
A927773,159
A930907,159
A945547,1409
A991452,1410
A906197,1411
A915341,1330
A931728,1330
A947359,1330
A929301,124
A952439,133
A970428,124
A998722,133
A925986,1412
A989947,700
A991269,1413
A998393,700
A987653,1414
A904913,1079
A930639,1079
A938108,853
A974485,1415
A977354,1079
A984236,1416
A986948,853
A987845,1417
A988759,853
A974764,1418
A996438,1419
A909471,937
A914777,937
A917330,544
A920209,937
A931312,937
A980353,937
A987637,1420
A988564,544
A942783,757
A968908,1421
A982208,757
A983091,1422
A923733,814
A937030,757
A949265,814
A973612,757
A991539,814
A933657,852
A962749,36
A972083,36
A990184,852
A990193,1423
A992726,852
A906362,576
A909608,539
A918120,576
A938422,539
A960706,1424
A968400,1425
A994743,1426
A996538,1427
A914525,1428
A920262,504
A945112,340
A956731,669
A964918,504
A965791,430
